date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:59:53	17237/17237	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Dec%202017%2014:59:52%20GMT	http://emoticones-data.tp.mmi-lepuy.fr/emo-list.php	D:/Utilisateurs/Bureau/test_1/k/emoticones-data.tp.mmi-lepuy.fr/emo-list.html	(from )
15:59:53	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5607c485dbeaa%22	http://emoticones-data.tp.mmi-lepuy.fr/robots.txt		(from )
15:59:54	4286/4286	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2210be-5607e2b0839ef%22	http://emoticones-data.tp.mmi-lepuy.fr/favicon.ico	D:/Utilisateurs/Bureau/test_1/k/emoticones-data.tp.mmi-lepuy.fr/favicon.ico	(from http://emoticones-data.tp.mmi-lepuy.fr/emo-list.php)
15:59:55	13959/13959	---M--	200	added ('OK')	image/png	etag:%223687-5607e2fb274ae%22	http://emoticones-data.tp.mmi-lepuy.fr/favicon.png	D:/Utilisateurs/Bureau/test_1/k/emoticones-data.tp.mmi-lepuy.fr/favicon.png	(from http://emoticones-data.tp.mmi-lepuy.fr/emo-list.php)
15:59:56	15651/15651	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Dec%202017%2014:59:55%20GMT	http://emoticones-data.tp.mmi-lepuy.fr/	D:/Utilisateurs/Bureau/test_1/k/emoticones-data.tp.mmi-lepuy.fr/index.html	(from http://emoticones-data.tp.mmi-lepuy.fr/emo-list.php)
15:59:56	21756/21756	---M-Z	200	added ('OK')	text/css	etag:%2254fc-5607de014e846-gzip%22	http://emoticones-data.tp.mmi-lepuy.fr/css/swiper/swiper.css	D:/Utilisateurs/Bureau/test_1/k/emoticones-data.tp.mmi-lepuy.fr/css/swiper/swiper.css	(from http://emoticones-data.tp.mmi-lepuy.fr/emo-list.php)
15:59:57	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-5607ddfc26415-gzip%22	http://emoticones-data.tp.mmi-lepuy.fr/css/bootstrap/bootstrap.min.css	D:/Utilisateurs/Bureau/test_1/k/emoticones-data.tp.mmi-lepuy.fr/css/bootstrap/bootstrap.min.css	(from http://emoticones-data.tp.mmi-lepuy.fr/emo-list.php)
15:59:58	20129/20129	---M-Z	200	added ('OK')	text/css	etag:%224ea1-5607ddf7a4009-gzip%22	http://emoticones-data.tp.mmi-lepuy.fr/css/style.css	D:/Utilisateurs/Bureau/test_1/k/emoticones-data.tp.mmi-lepuy.fr/css/style.css	(from http://emoticones-data.tp.mmi-lepuy.fr/emo-list.php)
15:59:58	1678/1678	---M-Z	200	added ('OK')	text/css	etag:%2268e-5607ddf727fbd-gzip%22	http://emoticones-data.tp.mmi-lepuy.fr/css/fonts.css	D:/Utilisateurs/Bureau/test_1/k/emoticones-data.tp.mmi-lepuy.fr/css/fonts.css	(from http://emoticones-data.tp.mmi-lepuy.fr/emo-list.php)
15:59:59	15655/15655	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Dec%202017%2014:59:59%20GMT	http://emoticones-data.tp.mmi-lepuy.fr/index.php	D:/Utilisateurs/Bureau/test_1/k/emoticones-data.tp.mmi-lepuy.fr/index-2.html	(from http://emoticones-data.tp.mmi-lepuy.fr/emo-list.php)
